선거년도,선거명,정당,기호,면동,투표자수,득표수,득표율
2025,거제시장,민주당,1,옥포1동,3061,1817,59.36%
2025,거제시장,국민의힘,2,옥포1동,3061,1126,36.79%
2025,거제시장,무소속,3,옥포1동,3061,78,2.55%
2025,거제시장,무소속,4,옥포1동,3061,24,0.78%
2025,거제시장,민주당,1,옥포2동,8738,5248,60.06%
2025,거제시장,국민의힘,2,옥포2동,8738,3148,36.03%
2025,거제시장,무소속,3,옥포2동,8738,195,2.23%
2025,거제시장,무소속,4,옥포2동,8738,106,1.21%
2025,거제시장,민주당,1,장평동,7548,4446,58.90%
2025,거제시장,국민의힘,2,장평동,7548,2692,35.67%
2025,거제시장,무소속,3,장평동,7548,334,4.43%
2025,거제시장,무소속,4,장평동,7548,40,0.53%
2025,거제시장,민주당,1,고현동,13404,7095,52.93%
2025,거제시장,국민의힘,2,고현동,13404,5412,40.38%
2025,거제시장,무소속,3,고현동,13404,765,5.71%
2025,거제시장,무소속,4,고현동,13404,69,0.51%
2025,거제시장,민주당,1,상문동,11196,7079,63.23%
2025,거제시장,국민의힘,2,상문동,11196,3184,28.44%
2025,거제시장,무소속,3,상문동,11196,834,7.45%
2025,거제시장,무소속,4,상문동,11196,56,0.50%
2025,거제시장,민주당,1,수양동,8563,5343,62.40%
2025,거제시장,국민의힘,2,수양동,8563,2727,31.85%
2025,거제시장,무소속,3,수양동,8563,427,4.99%
2025,거제시장,무소속,4,수양동,8563,33,0.39%
